Level,id,Wissenschaftlicher Name,Name,Euring,Species id,Familie,Artengruppe,Artstatus,Datum,Zeit,Erfassungsdatum,Typ des Meldesystems,versteckt bis,hide level,Anzahl,Geschlecht,Stadium,Aktivität,31468-X,31468-Y,Lon,Lat,Genauigkeit,Biotop,Gebiet,Bundesland,Provinz,Benutzer,Admin,Status,sicher,"entflohen, ausgesetzt oder angepflanzt",Methode,link,Bemerkungen,Bemerkungen zum Ort,Tagesliste,Foto
+,69070364,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/06/2012,15:26,09/06/2012,ObsMapp,01/01/2007,0,1,unbekannt,Imago,singend,"4,088,780","5,687,970","6,115,675","51,178,402",10, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Wouter van der Ham,Rob Felix,P,Y,N,-,https://nrw.observation.org/waarneming/view/69070364,"""""",,0,N
+,69075118,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/06/2012,15:19,09/06/2012,ObsMapp,01/01/2007,0,10,unbekannt,unbekannt,singend,"4,088,784","5,687,971","6,115,726","51,178,415",10, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Jillis Roos,Rob Felix,P,Y,N,-,https://nrw.observation.org/waarneming/view/69075118,"""""",,0,N
+,69085227,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/06/2012,15:27,10/06/2012,Webobs html5,01/01/2007,0,10,unbekannt,unbekannt,singend,"4,088,775","5,687,965","6,115,610,813,727,700","5,117,835,019,719,890",10, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Baudewijn Odé,Rob Felix,P,Y,N,-,https://nrw.observation.org/waarneming/view/69085227,"""""",,0,N
+,82288983,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/03/2014,15:50,10/03/2014,Site,01/01/1980,0,1,männlich,Larve/Nymphe,anwesend,"4,089,318","5,694,397","61,159,794,328","512,362,545,721",10,Heidegebied,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Wouter Jansen,,O,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/82288983,"""""",,0,N
+,185427263,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,22/04/2014,16:00,13/02/2020,Site,01/01/1980,0,5,männlich,Imago,singend,"4,090,849","5,698,775","613,279,223","5,127,649,736",10, onbekend,BRD - VIE NSG Brachter Wald,BRD - Nordrhein-Westfalen,Germany,V. Klosinski,Alexander Franzen,J,Y,N,gehört,https://nrw.observation.org/waarneming/view/185427263,"""Reges Zirpen mehrerer Exemplare! Tonaufnahme!""",,0,N
+,88898715,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,25/07/2014,17:00,01/10/2014,Site,01/01/1980,0,2,männlich,Imago,singend,"4,085,984","5,689,211","607,447,743,329","511,874,795,143",100, onbekend,BRD - NSG Lüsekamp,BRD - Nordrhein-Westfalen,Germany,Tobias Rautenberg,Jaap Bouwman,P,Y,N,-,https://nrw.observation.org/waarneming/view/88898715,"""""",,0,N
+,101881781,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,06/05/2015,14:50,07/05/2015,ObsMapp,01/01/2007,0,60,männlich,unbekannt,singend,"4,088,661","5,688,130","611,380,247,364,945","511,797,518,377,834",25, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Joost Vogels,,O,Y,N,-,https://nrw.observation.org/waarneming/view/101881781,,,0,N
+,141424742,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,18/05/2015,20:15,10/07/2017,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,208,204","5,778,958","774,237,442","520,673,827",100, onbekend,BRD - WAF Warendorf (Kreis),BRD - Nordrhein-Westfalen,Germany,Manfred Röhlen,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/141424742,"""""",,0,N
+,164748125,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,12/06/2015,,21/11/2018,Site,01/01/1980,0,4,männlich,Imago,singend,"4,257,390","5,759,766","847,174,644","5,191,894,106",100, onbekend,BRD - GT Gütersloh  (Kreis),BRD - Nordrhein-Westfalen,Germany,Jürgen Schleef,,O,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/164748125,"""""",,0,N
+,103566848,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/06/2015,11:20,20/06/2015,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,anwesend,"4,123,667","5,745,009","655,168,561,264,873","517,127,832,770,348",25, onbekend,BRD - WES Wesel (Kreis),BRD - Nordrhein-Westfalen,Germany,Kim Lotterman,Florin Rutschmann,P,Y,N,-,https://nrw.observation.org/waarneming/view/103566848,,,0,N
+,103593453,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/06/2015,11:20,21/06/2015,iObs,04/04/1911,0,15,männlich,unbekannt,anwesend,"4,123,647","5,745,012","65,514","517,128",10, onbekend,BRD - WES Wesel (Kreis),BRD - Nordrhein-Westfalen,Germany,jan de vries,,O,Y,N,-,https://nrw.observation.org/waarneming/view/103593453,,,0,N
+,116179348,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,06/04/2016,,06/04/2016,Site,01/01/1980,0,1,unbekannt,Larve(n),anwesend,"4,080,916","5,661,885","60,339,760,778,152","50,939,508,346,924",100, onbekend,BRD - HS Heinsberg (Kreis),BRD - Nordrhein-Westfalen,Germany,Sonja & Lex,Axel Hochkirch,J,Y,N,-,https://nrw.observation.org/waarneming/view/116179348,"""""",,0,Y
+,145116430,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,11/05/2017,,17/10/2017,Site,01/01/1980,0,20,männlich,Imago,singend,"4,251,051","5,770,057","83,723,402","5,200,844,707",10, onbekend,BRD - GT Gütersloh  (Kreis),BRD - Nordrhein-Westfalen,Germany,Martin Volpers,,O,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/145116430,"""auf einer Fläche von gut 4 ha Größe konnten mindestens 20 stridulierende Feldgrillen verhört und auch gesehen werden""",,0,N
+,147710654,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,16/05/2017,,16/01/2018,Site,01/01/1980,0,2,unbekannt,Imago,singend,"4,171,420","5,744,050","724,097,729","517,341,649",10, onbekend,BRD - RE Haltern - Westruper Heide,BRD - Nordrhein-Westfalen,Germany,J. Otto,,O,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/147710654,"""""",,0,N
+,147710713,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2017,,16/01/2018,Site,01/01/1980,0,5,unbekannt,Imago,singend,"4,111,255","5,626,568","650,086,284","506,447,287",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,Axel Hochkirch,P,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/147710713,"""""",,0,N
+,147710715,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2017,,16/01/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,111,946","5,627,105","651,002,347","5,064,999,608",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,Axel Hochkirch,P,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/147710715,"""""",,0,N
+,147710719,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2017,,16/01/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,111,765","5,627,306","650,726,616","5,065,166,951",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,Axel Hochkirch,P,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/147710719,"""""",,0,N
+,229459167,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2017,,17/11/2021,Site,01/01/1980,0,1,unbekannt,unbekannt,anwesend,"4,311,047","5,760,911","9,25","51,95",7286, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,OrthopteraWeb,Automatische Validatie,P,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/229459167,"""Quelle: OrthopteraWeb - https://daten.heuschrecken-portal.de""",,0,N
+,144061660,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,07/09/2017,14:03,15/09/2017,ObsMapp,01/01/2007,0,1,unbekannt,Imago,anwesend,"4,080,561","5,661,280","602,964,378,355,025","509,338,398,911,875",25, onbekend,BRD - HS Heinsberg (Kreis),BRD - Nordrhein-Westfalen,Germany,PCJ Puts,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/144061660,,,0,N
+,144644198,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,30/09/2017,,02/10/2017,Site,01/01/1980,0,2,unbekannt,Larve(n),anwesend,"4,091,991","5,697,220","615,084,708","5,126,340,862",1000, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Ulrich Haese,,O,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/144644198,"""letztes Stadium; frei in Heide laufend (wegen zunehmender Staunässe?) """,,0,N
+,149930479,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,25/03/2018,15:32,25/03/2018,ObsMapp,01/01/2007,0,1,unbekannt,Larve/Nymphe,anwesend,"4,122,984","5,744,652","654,224,007,966,602","517,091,314,368,383",25, onbekend,BRD - WES Wesel (Kreis),BRD - Nordrhein-Westfalen,Germany,Sven Bodingbauer,Ulrich Haese,J,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/149930479,,,0,Y
+,156265385,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/05/2018,16:58,10/05/2018,ObsMapp,01/01/2007,0,1,unbekannt,Imago,singend,"4,112,334","5,627,245","651,533,614,844,084","506,515,040,303,592",25, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,Geert Runhaar,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/156265385,,,0,N
+,156265384,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,10/05/2018,10:02,10/05/2018,ObsMapp,01/01/2007,0,1,unbekannt,Imago,singend,"4,112,348","5,627,196","651,558,894,664,049","506,510,739,850,955",25, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,Geert Runhaar,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/156265384,,,0,N
+,158036067,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,02/06/2018,,07/06/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,111,791","5,627,310","650,763,273","5,065,173,119",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/158036067,"""""",,0,N
+,158036085,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,02/06/2018,,07/06/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,111,951","5,627,097","651,009,858","5,064,992,806",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/158036085,"""""",,0,N
+,158036148,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,02/06/2018,,07/06/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,111,274","5,626,671","650,102,019","5,064,566,439",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/158036148,"""""",,0,N
+,158035958,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,03/06/2018,,07/06/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,107,675","5,632,249","644,447,207","5,069,316,012",10, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,J. Otto,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/158035958,"""großflächiger Kahlschlag (größer als aktuelles Luftbild), Feldgrillen im weiteren Umfeld (Grünland) vorhanden """,,0,N
+,158423055,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,09/06/2018,09:00,14/06/2018,Site,01/01/1980,0,1,unbekannt,Imago,singend,"4,271,760","5,760,933","867,947,146","5,193,548,081",100, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,Stefan Häcker,Florin Rutschmann,P,Y,N,gehört,https://nrw.observation.org/waarneming/view/158423055,"""Wistinghauser Senne""",,0,N
+,158411122,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,12/06/2018,11:46,14/06/2018,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,singend,"4,123,268","5,744,411","654,658,140,618,299","517,071,697,667,158",25, onbekend,BRD - WES Wesel (Kreis),BRD - Nordrhein-Westfalen,Germany,Julian Enß,Automatische Validatie,A,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/158411122,,,0,N
+,164324522,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/06/2018,,06/11/2018,Site,01/01/1980,0,10,unbekannt,Imago,singend,"4,252,292","5,768,075","839,181,662","5,199,122,295",10, onbekend,BRD - GT Gütersloh  (Kreis),BRD - Nordrhein-Westfalen,Germany,Jürgen Schleef,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/164324522,"""""",,0,N
+,161528444,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,17/08/2018,,19/08/2018,Site,01/01/1980,0,3,unbekannt,Larve/Nymphe,anwesend,"4,080,145","5,662,643","602,218,866","509,457,264",10, onbekend,BRD - Geilenkirchen - NSG Teverener Heide,BRD - Nordrhein-Westfalen,Germany,Ulrich Haese,Axel Hochkirch,J,Y,N,Sichtung,https://nrw.observation.org/waarneming/view/161528444,"""""",,0,Y
+,161531409,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,17/08/2018,11:39,19/08/2018,iObs,01/01/2007,0,1,unbekannt,Larve/Nymphe,anwesend,"4,080,314","5,662,452","602,480,052,039,588","509,441,383,649,138",5, onbekend,BRD - Geilenkirchen - NSG Teverener Heide,BRD - Nordrhein-Westfalen,Germany,Rob Felix,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/161531409,,,0,N
+,170357585,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,16/04/2019,13:36,16/04/2019,iObs,01/01/2007,0,1,männlich,unbekannt,anwesend,"4,080,853","5,661,152","6,033,923,719,083,920","5,093,290,581,838,310",10, onbekend,BRD - Geilenkirchen - NSG Teverener Heide,BRD - Nordrhein-Westfalen,Germany,Rob Felix,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/170357585,,,0,N
+,170357588,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,16/04/2019,16:57,16/04/2019,iObs,01/01/2007,0,2,unbekannt,unbekannt,anwesend,"4,080,124","5,662,417","602,216,340,602,005","5,094,369,169,329,380",5, onbekend,BRD - Geilenkirchen - NSG Teverener Heide,BRD - Nordrhein-Westfalen,Germany,Rob Felix,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/170357588,,,0,N
+,171672729,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,04/05/2019,17:15,05/05/2019,iObs,01/01/2007,0,5,männlich,Imago,singend,"4,156,631","5,650,479","711,764,948,443,241","508,873,682,376,471",10, onbekend,BRD - NSG Wahner Heide <K>,BRD - Nordrhein-Westfalen,Germany,Armin Dahl,,O,Y,N,gehört,https://nrw.observation.org/waarneming/view/171672729,,,0,N
+,178436491,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,04/05/2019,10:23,23/08/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,anwesend,"4,205,731","5,773,543","7,711,077","52,017,548",25, onbekend,BRD - MS Münster - Truppenübungsplatz Dorbaum,BRD - Nordrhein-Westfalen,Germany,Christian Beckmann,Automatische Validatie,A,Y,N,gehört,https://nrw.observation.org/waarneming/view/178436491,"""Waldrand gen Windrad Haskenau""",,0,N
+,229459166,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,15/05/2019,,17/11/2021,Site,01/01/1980,0,1,unbekannt,unbekannt,anwesend,"4,311,553","5,760,447","9,257,612","51,946,002",10, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,OrthopteraWeb,Automatische Validatie,P,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/229459166,"""Quelle: OrthopteraWeb - https://daten.heuschrecken-portal.de""",,0,N
+,178227870,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2019,13:45,19/08/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,singend,"4,106,452","5,629,657","643,000,099,807,978","506,691,511,965,155",25, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,Sebastian Flinkerbusch,Automatische Validatie,A,Y,N,gehört,https://nrw.observation.org/waarneming/view/178227870,,,0,N
+,178227871,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2019,13:45,19/08/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,anwesend,"4,106,655","5,629,521","643,299,803,137,779","506,680,680,860,666",25, onbekend,BRD - Eifel Nationalpark,BRD - Nordrhein-Westfalen,Germany,Sebastian Flinkerbusch,Automatische Validatie,A,Y,N,gehört,https://nrw.observation.org/waarneming/view/178227871,,,0,N
+,178227872,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2019,13:44,19/08/2019,ObsMapp,01/01/2007,0,10,unbekannt,unbekannt,singend,"4,107,622","5,631,098","644,494,492,560,625","506,828,261,582,012",25, onbekend,BRD - NSG Kalltal und Nebentaeler,BRD - Nordrhein-Westfalen,Germany,Sebastian Flinkerbusch,Automatische Validatie,A,Y,N,gehört,https://nrw.observation.org/waarneming/view/178227872,,,0,N
+,178227873,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,20/05/2019,13:00,19/08/2019,ObsMapp,01/01/2007,0,10,unbekannt,unbekannt,singend,"4,107,706","5,630,362","644,690,729,677,677","506,762,988,438,442",25, onbekend,BRD - Eifel Nationalpark,BRD - Nordrhein-Westfalen,Germany,Sebastian Flinkerbusch,Automatische Validatie,A,Y,N,gehört,https://nrw.observation.org/waarneming/view/178227873,"""Viele Singer auf extensiven Weiden im Schliebachtal""",,0,N
+,173326558,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,25/05/2019,12:27,29/05/2019,ObsMapp,01/01/2007,0,10,unbekannt,unbekannt,anwesend,"4,102,742","5,632,154","637,509,155,273,438","506,889,762,878,418",25, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,Hans Roosen,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173326558,,,0,N
+,173326561,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,25/05/2019,11:23,29/05/2019,ObsMapp,01/01/2007,0,5,unbekannt,Imago,singend,"4,102,999","5,632,533","637,831,163,406,372","506,925,392,150,879",25, onbekend,BRD - Rureifel,BRD - Nordrhein-Westfalen,Germany,Hans Roosen,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173326561,,,0,N
+,173345893,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/05/2019,17:26,29/05/2019,Orthoptera app,01/01/2007,0,8,unbekannt,unbekannt,singend,"4,281,915","5,748,017","8,835,057","5,182,364",16, onbekend,BRD - LIP Lippe (Kreis),BRD - Nordrhein-Westfalen,Germany,Arend Heim,,O,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173345893,"""Die ganze Wiese singt""",,0,N
+,173391664,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/05/2019,22:00,30/05/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,singend,"4,091,405","5,689,914","615,080,248,564,482","511,976,667,777,914",25, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Sylvain Wamelink,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173391664,,,0,N
+,173391665,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/05/2019,22:00,30/05/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,singend,"4,091,414","5,689,879","615,098,185,837,269","511,973,562,549,467",25, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Sylvain Wamelink,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173391665,,,0,N
+,173391666,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/05/2019,22:00,30/05/2019,ObsMapp,01/01/2007,0,1,unbekannt,unbekannt,singend,"4,091,340","5,689,823","614,999,178,797,007","511,968,049,561,879",25, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Sylvain Wamelink,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173391666,,,0,N
+,173391667,Gryllus campestris,Feldgrille,0,1933,Gryllidae (Grillen),Orthoptera,Native,29/05/2019,22:00,30/05/2019,ObsMapp,01/01/2007,0,5,unbekannt,unbekannt,singend,"4,091,231","5,689,924","61,483,221,128,583","511,976,319,018,523",25, onbekend,BRD - Maas-Schwalm-Nette,BRD - Nordrhein-Westfalen,Germany,Sylvain Wamelink,Automatische Validatie,A,Y,N,unbekannt,https://nrw.observation.org/waarneming/view/173391667,,,0,N
